time_s,data_time,temp_cabin_zone_degree,temp_duct_supply_zone_degree
63,04/01/2021,22.218,23.552
64,04/01/2021,20.588,17.565
65,04/01/2021,23.225,35.633
66,04/01/2021,19.086,6.752
67,04/01/2021,27.199,5.581
68,04/01/2021,24.48,46.478
69,04/01/2021,27.389,17.649
70,04/01/2021,24.505,17.681
71,04/01/2021,24.248,39.194
72,04/01/2021,20.99,21.416
73,04/01/2021,18.225,29.357
74,04/01/2021,27.312,9.866
75,04/01/2021,25.744,54.49
76,04/01/2021,21.904,37.945
77,04/01/2021,22.404,3.299
78,04/01/2021,27.992,49.941
79,04/01/2021,22.151,62.567
80,04/01/2021,23.927,61.184
81,04/01/2021,23.418,13.068
82,04/01/2021,19.473,59.664
83,04/01/2021,21.608,41.457
84,04/01/2021,22.735,24.474
85,04/01/2021,22.926,43.944
86,04/01/2021,19.353,21.77
87,04/01/2021,22.096,13.467
88,04/01/2021,24.042,59.55
89,04/01/2021,22.456,6.49
90,04/01/2021,28.166,26.127
91,04/01/2021,26.672,16.697
92,04/01/2021,24.443,43.004
93,04/01/2021,25.406,37.441
94,04/01/2021,18.358,44.937
95,04/01/2021,24.082,28.863
96,04/01/2021,18.372,39.486
97,04/01/2021,20.614,28.342
98,04/01/2021,27.383,52.464
99,04/01/2021,20.45,47.613
100,04/01/2021,24.333,33.617
101,04/01/2021,24.077,39.475
102,04/01/2021,26.423,11.792
103,04/01/2021,27.614,10.055
104,04/01/2021,23.643,31.891
105,04/01/2021,26.4,28.353
106,04/01/2021,22.185,16.609
107,04/01/2021,27.912,43.067
108,04/01/2021,23.016,59.593
109,04/01/2021,19.777,55.117
110,04/01/2021,23.583,15.639
111,04/01/2021,23.803,53.053
112,04/01/2021,19.683,30.272
113,04/01/2021,18.357,53.483
114,04/01/2021,22.615,33.299
115,04/01/2021,22.301,14.794
116,04/01/2021,23.04,53.173
117,04/01/2021,22.959,22.74
118,04/01/2021,25.169,8.215
119,04/01/2021,25.2,7.741
120,04/01/2021,24.107,26.46
121,04/01/2021,23.098,23.673
122,04/01/2021,21.56,32.01
123,04/01/2021,28.792,16.006
124,04/01/2021,20.834,55.228
125,04/01/2021,28.454,5.026
126,04/01/2021,20.943,4.502
127,04/01/2021,28.84,45.865
128,04/01/2021,18.381,13.447
129,04/01/2021,22.929,40.717
130,04/01/2021,28.929,40.965
131,04/01/2021,23.281,3.649
132,04/01/2021,27.075,55.229
133,04/01/2021,18.444,9.392
134,04/01/2021,27.426,25.034
135,04/01/2021,18.321,17.717
136,04/01/2021,26.16,10.799
137,04/01/2021,21.377,42.05
138,04/01/2021,24.922,49.928
139,04/01/2021,18.618,46.215
140,04/01/2021,23.026,53.088
141,04/01/2021,20.366,55.248
142,04/01/2021,25.695,25.425
143,04/01/2021,18.854,18.566
144,04/01/2021,26.81,14.984
145,04/01/2021,25.376,15.788
146,04/01/2021,26.139,3.723
147,04/01/2021,20.93,61.323
148,04/01/2021,18.439,5.262
149,04/01/2021,27.054,45.58
150,04/01/2021,18.72,21.974
151,04/01/2021,25.082,55.917
152,04/01/2021,18.808,59.072
153,04/01/2021,21.878,32.851
154,04/01/2021,25.698,16.598
155,04/01/2021,19.454,35.559
156,04/01/2021,23.633,13.374
157,04/01/2021,24.325,3.71
158,04/01/2021,21.666,5.087
159,04/01/2021,21.721,5.036
160,04/01/2021,27.923,20.926
161,04/01/2021,27.877,62.363
162,04/01/2021,24.821,8.232
163,04/01/2021,26.44,4.34
164,04/01/2021,18.588,34.811
165,04/01/2021,26.187,56.96
166,04/01/2021,22.972,11.18
167,04/01/2021,22.193,27.066
168,04/01/2021,20.575,23.417
169,04/01/2021,20.474,57.649
170,04/01/2021,26.637,57.837
171,04/01/2021,23.555,19.212
172,04/01/2021,21.188,33.136
173,04/01/2021,26.232,17.568
174,04/01/2021,24.408,51.588
175,04/01/2021,28.948,46.541
176,04/01/2021,24.832,58.237
177,04/01/2021,26.668,38.02
178,04/01/2021,22.747,14.381
179,04/01/2021,22.359,58.388
180,04/01/2021,23.379,55.398
181,04/01/2021,18.497,17.128
182,04/01/2021,20.152,17.325
183,04/01/2021,24.393,12.539
184,04/01/2021,23.883,44.941
185,04/01/2021,19.192,17.226
186,04/01/2021,28.994,29.035
187,04/01/2021,23.454,38.608
188,04/01/2021,26.228,7.626
189,04/01/2021,26.542,47.038
190,04/01/2021,27.585,7.883
191,04/01/2021,22.163,51.827
192,04/01/2021,24.953,62.85
193,04/01/2021,22.103,39.286
194,04/01/2021,22.035,17.061
195,04/01/2021,19.265,11.285
196,04/01/2021,25.78,56.775
197,04/01/2021,28.107,49.883
198,04/01/2021,24.179,54.097
199,04/01/2021,23.752,2.682
200,04/01/2021,22.97,62.752
201,04/01/2021,25.281,50.655
202,04/01/2021,19.997,27.261
203,04/01/2021,21.157,20.579
204,04/01/2021,22.424,14.353
205,04/01/2021,19.716,45.552
206,04/01/2021,18.58,43.822
207,04/01/2021,25.841,34.676
208,04/01/2021,28.095,21.454
209,04/01/2021,26.943,56.151
210,04/01/2021,22.69,23.586
211,04/01/2021,26.776,52.646
212,04/01/2021,26.191,26.074
213,04/01/2021,28.812,30.327
214,04/01/2021,23.379,2.825
215,04/01/2021,19.032,47.368
216,04/01/2021,21.716,22.356
217,04/01/2021,20.683,9.646
218,04/01/2021,20.706,36.837
219,04/01/2021,18.988,22.086
220,04/01/2021,22.124,51.777
221,04/01/2021,27.793,44.247
222,04/01/2021,21.421,45.247
223,04/01/2021,21.35,44.852
224,04/01/2021,24.08,8.488
225,04/01/2021,26.789,47.746
226,04/01/2021,28.701,2.867
227,04/01/2021,22.453,56.998
228,04/01/2021,19.073,33.937
229,04/01/2021,22.71,15.365
230,04/01/2021,23.592,7.079
231,04/01/2021,25.41,48.543
232,04/01/2021,28.005,47.85
233,04/01/2021,28.498,48.635
234,04/01/2021,25.181,28.563
235,04/01/2021,21.131,6.969
236,04/01/2021,25.6,45.02
237,04/01/2021,28.051,17.438
238,04/01/2021,23.464,32.14
239,04/01/2021,20.71,8.721
240,04/01/2021,24.748,57.339
241,04/01/2021,19.239,17.274
242,04/01/2021,25.348,8.586
243,04/01/2021,18.188,36.417
244,04/01/2021,18.938,31.292
245,04/01/2021,25.717,21.416
246,04/01/2021,21.089,18.615
247,04/01/2021,18.207,36.306
248,04/01/2021,28.78,14.874
249,04/01/2021,26.108,30.797
250,04/01/2021,27.027,21.798
251,04/01/2021,28.614,60.731
252,04/01/2021,25.657,47.566
253,04/01/2021,20.244,42.947
254,04/01/2021,25.071,41.858
255,04/01/2021,20.473,5.26
256,04/01/2021,21.38,59.531
257,04/01/2021,27.384,16.007
258,04/01/2021,21.94,4.598
259,04/01/2021,22.283,54.622
260,04/01/2021,24.459,14.117
261,04/01/2021,22.283,7.008
262,04/01/2021,24.889,34.393
263,04/01/2021,18.066,31.351
264,04/01/2021,19.252,37.298
265,04/01/2021,28.741,58.931
266,04/01/2021,20.487,24.702
267,04/01/2021,27.928,45.261
268,04/01/2021,18.83,9.388
269,04/01/2021,23.991,39.079
270,04/01/2021,18.987,9.095
271,04/01/2021,28.946,12.123
272,04/01/2021,28.326,18.093
273,04/01/2021,25.389,18.103
274,04/01/2021,27.029,38.3
275,04/01/2021,24.865,52.931
276,04/01/2021,23.834,13.292
277,04/01/2021,28.414,44.589
278,04/01/2021,28.916,38.437
279,04/01/2021,24.001,55.479
280,04/01/2021,22.133,45.583
281,04/01/2021,23.147,16.873
282,04/01/2021,27.854,45.454
283,04/01/2021,19.987,43.205
284,04/01/2021,28.522,47.219
285,04/01/2021,18.014,49.834
286,04/01/2021,27.474,26.34
287,04/01/2021,26.673,11.587
288,04/01/2021,18.584,34.426
289,04/01/2021,22.331,16.535
290,04/01/2021,25.692,14.735
291,04/01/2021,22.264,5.063
292,04/01/2021,20.384,51.097
293,04/01/2021,27.658,13.399
294,04/01/2021,23.607,39.976
295,04/01/2021,27.106,16.143
296,04/01/2021,18.053,57.93
297,04/01/2021,26.012,38.27
298,04/01/2021,19.811,33.955
299,04/01/2021,25.729,47.941
300,04/01/2021,27.058,23.895
301,04/01/2021,23.968,49.026
302,04/01/2021,19.523,41.703
303,04/01/2021,26.124,56.587
304,04/01/2021,19.2,43.426
305,04/01/2021,19.337,33.379
306,04/01/2021,19.157,11.527
307,04/01/2021,21.241,42.946
308,04/01/2021,26.4,7.578
309,04/01/2021,21.729,24.403
310,04/01/2021,19.492,18.035
311,04/01/2021,20.991,51.501
312,04/01/2021,21.777,57.222
313,04/01/2021,19.02,43.628
314,04/01/2021,21.623,9.941
315,04/01/2021,21.933,10.269
316,04/01/2021,20.656,12.682
317,04/01/2021,18.298,52.55
318,04/01/2021,25.715,15.857
319,04/01/2021,21.555,32.46
320,04/01/2021,25.306,43.869
321,04/01/2021,25.19,9.072
322,04/01/2021,18.795,53.827
323,04/01/2021,18.793,36.691
324,04/01/2021,19.985,35.629
325,04/01/2021,21.344,37.694
326,04/01/2021,24.556,45.237
327,04/01/2021,26.866,16.708
328,04/01/2021,25.409,31.581
329,04/01/2021,21.723,31.023
330,04/01/2021,27.752,20.191
331,04/01/2021,25.586,10.307
332,04/01/2021,28.113,4.774
333,04/01/2021,21.398,24.004
334,04/01/2021,23.514,32.08
335,04/01/2021,20.006,6.866
336,04/01/2021,20.407,46.375
337,04/01/2021,23.662,17.418
338,04/01/2021,23.475,23.455
339,04/01/2021,19.952,35.09
340,04/01/2021,22.084,45.554
341,04/01/2021,28.451,50.678
342,04/01/2021,21.775,2.517
343,04/01/2021,18.945,48.326
344,04/01/2021,28.076,32.73
345,04/01/2021,25.618,31.297
346,04/01/2021,20.09,62.62
347,04/01/2021,18.859,10.693
348,04/01/2021,24.108,15.952
349,04/01/2021,21.121,57.95
350,04/01/2021,25.765,19.359
351,04/01/2021,20.772,47.113
352,04/01/2021,18.845,23.111
353,04/01/2021,28.592,43.853
354,04/01/2021,21.603,47.548
355,04/01/2021,26.33,45.87
356,04/01/2021,20.511,54.795
357,04/01/2021,24.593,35.245
358,04/01/2021,20.356,18.09
359,04/01/2021,24.976,50.306
360,04/01/2021,18.31,27.752
361,04/01/2021,19.515,19.055
362,04/01/2021,24.079,8.439
363,04/01/2021,26.099,33.064
364,04/01/2021,25.019,46.375
365,04/01/2021,27.513,27.104
366,04/01/2021,22.467,9.619
367,04/01/2021,26.953,29.867
368,04/01/2021,28.667,39.492
369,04/01/2021,23.32,4.056
370,04/01/2021,23.685,42.927
371,04/01/2021,24.805,50.223
372,04/01/2021,20.953,4.297
373,04/01/2021,27.127,14.216
374,04/01/2021,26.997,37.628
375,04/01/2021,21.442,22.311
376,04/01/2021,19.367,62.193
377,04/01/2021,18.359,23.428
378,04/01/2021,18.488,15.97
379,04/01/2021,27.459,24.537
380,04/01/2021,22.889,19.466
381,04/01/2021,18.104,9.026
382,04/01/2021,23.045,3.655
383,04/01/2021,24.963,10.42
384,04/01/2021,27.68,27.178
385,04/01/2021,19.742,12.488
386,04/01/2021,22.691,48.122
387,04/01/2021,22.699,54.642
388,04/01/2021,28.355,48.972
389,04/01/2021,24.977,14.58
390,04/01/2021,25.831,32.215
391,04/01/2021,19.246,61.774
392,04/01/2021,27.037,26.281
393,04/01/2021,28.319,42.488
394,04/01/2021,18.603,4.037
395,04/01/2021,18.955,41.791
396,04/01/2021,23.415,56.436
397,04/01/2021,26.95,8.197
398,04/01/2021,23.426,59.287
399,04/01/2021,22.766,2.132
400,04/01/2021,22.91,39.825
401,04/01/2021,26.434,29.617
402,04/01/2021,25.263,31.449
403,04/01/2021,18.676,46.784
404,04/01/2021,27.401,55.563
405,04/01/2021,24.451,24.001
406,04/01/2021,28.19,25.647
407,04/01/2021,28.412,47.092
408,04/01/2021,28.409,28.358
409,04/01/2021,20.223,42.836
410,04/01/2021,23.559,45.104
411,04/01/2021,25.153,27.759
412,04/01/2021,25.424,3.893
413,04/01/2021,21.396,16.429
414,04/01/2021,28.84,29.402
415,04/01/2021,19.61,42.199
416,04/01/2021,27.488,40.584
417,04/01/2021,18.557,43.394
418,04/01/2021,26.581,45.006
419,04/01/2021,20.154,28.686
420,04/01/2021,24.114,9.766
421,04/01/2021,27.002,46.221
422,04/01/2021,28.551,31.891
423,04/01/2021,28.013,52.607
424,04/01/2021,23.257,33.024
425,04/01/2021,26.934,14.161
426,04/01/2021,18.516,28.368
427,04/01/2021,21.446,15.625
428,04/01/2021,20.409,37.91
429,04/01/2021,25.339,44.274
430,04/01/2021,27.339,12.831
431,04/01/2021,28.068,49.472
432,04/01/2021,19.132,33.105
433,04/01/2021,21.34,3.601
434,04/01/2021,28.073,25.985
435,04/01/2021,27.317,22.607
436,04/01/2021,25.711,12.596
437,04/01/2021,23.784,53.307
438,04/01/2021,20.548,28.918
439,04/01/2021,26.303,50.542
440,04/01/2021,21.732,18.214
441,04/01/2021,23.862,59.349
442,04/01/2021,24.576,17.201
443,04/01/2021,28.452,49.844
444,04/01/2021,27.845,8.516
445,04/01/2021,22.103,39.418
446,04/01/2021,28.811,28.193
447,04/01/2021,24.422,26.095
448,04/01/2021,22.294,29.169
449,04/01/2021,24.791,53.404
450,04/01/2021,20.055,49.778
451,04/01/2021,24.728,11.392
452,04/01/2021,21.678,32.394
453,04/01/2021,22.905,50.428
454,04/01/2021,24.929,24.24
455,04/01/2021,22.176,11.976
456,04/01/2021,23.812,53.911
457,04/01/2021,24.36,37.364
458,04/01/2021,18.709,23.402
459,04/01/2021,21.306,40.379
460,04/01/2021,21.892,48.076
461,04/01/2021,18.498,47.813
462,04/01/2021,21.837,59.7
463,04/01/2021,19.509,49.244
464,04/01/2021,23.299,27.681
465,04/01/2021,19.068,19.028
466,04/01/2021,28.39,12.927
467,04/01/2021,18.444,43.343
468,04/01/2021,26.082,34.615
469,04/01/2021,21.625,8.831
470,04/01/2021,22.602,52.446
471,04/01/2021,19.588,2.298
472,04/01/2021,24.436,28.957
473,04/01/2021,23.928,9.815
474,04/01/2021,26.569,36.677
475,04/01/2021,26.683,15.848
476,04/01/2021,23.168,17.023
477,04/01/2021,19.39,31.694
478,04/01/2021,28.507,29.861
479,04/01/2021,22.238,11.432
480,04/01/2021,22.746,40.376
481,04/01/2021,20.062,32.417
482,04/01/2021,24.465,56.388
483,04/01/2021,19.996,22.777
484,04/01/2021,23.017,42.593
485,04/01/2021,20.813,47.525
486,04/01/2021,22.652,30.187
487,04/01/2021,27.011,55.746
488,04/01/2021,21.952,17.463
489,04/01/2021,21.958,19.953
490,04/01/2021,21.72,32.498
491,04/01/2021,28.059,38.651
492,04/01/2021,20.831,22.086
493,04/01/2021,26.363,48.079
494,04/01/2021,24.288,32.146
495,04/01/2021,23.655,18.45
496,04/01/2021,21.82,45.603
497,04/01/2021,26.615,36.417
498,04/01/2021,26.438,55.64
499,04/01/2021,21.13,35.303
500,04/01/2021,21.396,16.885
501,04/01/2021,19.027,33.741
502,04/01/2021,22.38,21.318
503,04/01/2021,23.523,27.657
504,04/01/2021,28.057,4.087
505,04/01/2021,28.945,23.862
506,04/01/2021,28.981,19.759
507,04/01/2021,28.14,8.917
508,04/01/2021,24.84,23.209
509,04/01/2021,23.902,4.227
510,04/01/2021,19.584,52.325
511,04/01/2021,22.508,47.454
512,04/01/2021,25.103,19.941
513,04/01/2021,24.076,7.341
514,04/01/2021,25.754,11.691
515,04/01/2021,26.18,59.703
516,04/01/2021,19.215,15.421
517,04/01/2021,19.641,25.422
518,04/01/2021,27.529,34.957
519,04/01/2021,25.699,15.124
520,04/01/2021,18.011,37.27
521,04/01/2021,18.56,17.884
522,04/01/2021,21.966,35.747
523,04/01/2021,21.738,13.157
524,04/01/2021,18.442,13.074
525,04/01/2021,24.174,15.64
526,04/01/2021,24.438,19.99
527,04/01/2021,21.881,41.974
528,04/01/2021,22.946,12.8
529,04/01/2021,25.866,34.177
530,04/01/2021,19.938,19.481
531,04/01/2021,24.008,6.926
532,04/01/2021,20.061,31.728
533,04/01/2021,23.778,57.737
534,04/01/2021,27.06,36.817
535,04/01/2021,23.996,57.402
536,04/01/2021,25.934,32.647
537,04/01/2021,26.142,32.745
538,04/01/2021,28.347,44.8
539,04/01/2021,25.09,25.45
540,04/01/2021,27.295,45.09
541,04/01/2021,27.488,45.037
542,04/01/2021,21.579,59.186
543,04/01/2021,20.346,62.87
544,04/01/2021,18.382,41.376
545,04/01/2021,20.768,56.039
546,04/01/2021,21.519,60.576
547,04/01/2021,28.606,45.313
548,04/01/2021,18.477,11.149
549,04/01/2021,24.206,34.438
550,04/01/2021,24.046,2.162
551,04/01/2021,22.486,33.802
552,04/01/2021,28.078,32.037
553,04/01/2021,22.256,50.477
554,04/01/2021,18.929,10.636
555,04/01/2021,24.255,31.212
556,04/01/2021,21.525,5.772
557,04/01/2021,25.724,32.385
558,04/01/2021,23.204,9.308
559,04/01/2021,18.156,60.979
560,04/01/2021,24.351,34.287
561,04/01/2021,28.173,37.919
562,04/01/2021,26.938,10.942
563,04/01/2021,26.788,49.276
564,04/01/2021,21.387,61.974
565,04/01/2021,20.335,23.124
566,04/01/2021,25.005,18.716
567,04/01/2021,23.308,51.35
568,04/01/2021,25.245,18.45
569,04/01/2021,23.671,46.7
570,04/01/2021,18.627,34.555
571,04/01/2021,20.98,9.684
572,04/01/2021,19.442,9.884
573,04/01/2021,24.578,56.691
574,04/01/2021,26.064,49.981
575,04/01/2021,27.111,19.37
576,04/01/2021,23.776,8.769
577,04/01/2021,26.716,49.151
578,04/01/2021,20.532,25.368
579,04/01/2021,19.525,20.856
580,04/01/2021,27.466,32.31
581,04/01/2021,19.429,33.082
582,04/01/2021,20.87,14.997
583,04/01/2021,26.08,4.48
584,04/01/2021,18.741,25.613
585,04/01/2021,19.702,39.968
586,04/01/2021,25.106,48.171
587,04/01/2021,24.432,46.782
588,04/01/2021,27.132,6.964
589,04/01/2021,24.671,62.137
590,04/01/2021,20.7,55.076
591,04/01/2021,21.91,60.377
592,04/01/2021,26.96,21.594
593,04/01/2021,19.892,52.603
594,04/01/2021,20.851,55.516
595,04/01/2021,18.5,45.203
596,04/01/2021,23.923,36.097
597,04/01/2021,22.55,20.368
598,04/01/2021,19.231,16.945
599,04/01/2021,21.579,61.526
600,04/01/2021,27.554,20.934
601,04/01/2021,18.417,42.193
602,04/01/2021,21.987,37.2
603,04/01/2021,28.072,4.261
604,04/01/2021,27.139,16.942
605,04/01/2021,24.114,12.305
606,04/01/2021,26.714,19.048
607,04/01/2021,21.673,58.704
608,04/01/2021,19.659,41.577
609,04/01/2021,27.887,12.459
610,04/01/2021,27.912,26.454
611,04/01/2021,18.968,11.64
612,04/01/2021,18.699,34.138
613,04/01/2021,23.29,58.613
614,04/01/2021,18.044,50.477
615,04/01/2021,20.945,54.874
616,04/01/2021,21.776,50.834
617,04/01/2021,21.603,17.462
618,04/01/2021,20.476,4.191
619,04/01/2021,23.008,45.511
620,04/01/2021,28.165,60.56
621,04/01/2021,27.243,36.046
622,04/01/2021,22.154,60.04
623,04/01/2021,28.23,31.832
624,04/01/2021,18.587,55.765
625,04/01/2021,25.815,24.159
626,04/01/2021,28.518,28.362
627,04/01/2021,28.967,42.498
628,04/01/2021,22.827,58.416
629,04/01/2021,24.403,49.309
630,04/01/2021,19.597,9.936
631,04/01/2021,23.948,32.066
632,04/01/2021,24.419,14.739
633,04/01/2021,20.93,11.447
634,04/01/2021,25.026,49.778
635,04/01/2021,24.457,62.496
636,04/01/2021,21.282,56.942
637,04/01/2021,19.256,7.822
638,04/01/2021,20.359,7.616
639,04/01/2021,27.615,58.924
640,04/01/2021,23.103,14.628
641,04/01/2021,22.747,3.3
642,04/01/2021,22.807,51.532
643,04/01/2021,25.916,41.955
644,04/01/2021,23.873,49.544
645,04/01/2021,22.227,56.958
646,04/01/2021,23.076,10.756
647,04/01/2021,27.496,59.203
648,04/01/2021,26.525,24.737
649,04/01/2021,24.111,62.693
650,04/01/2021,23.227,47.822
651,04/01/2021,23.062,53.584
652,04/01/2021,26.765,44.243
653,04/01/2021,19.759,6.921
654,04/01/2021,24.29,32.061
655,04/01/2021,24.165,52.082
656,04/01/2021,27.527,61.533
657,04/01/2021,23.691,58.576
658,04/01/2021,18.304,16.764
659,04/01/2021,26.34,13.596
660,04/01/2021,27.008,13.151
661,04/01/2021,22.249,3.312
662,04/01/2021,23.504,47.055
663,04/01/2021,24.864,47.287
664,04/01/2021,26.465,34.76
665,04/01/2021,25.228,29.144
666,04/01/2021,21.156,22.081
667,04/01/2021,28.801,48.71
668,04/01/2021,22.454,33.03
669,04/01/2021,21.87,35.972
670,04/01/2021,25.526,49.81
671,04/01/2021,20.161,15.668
672,04/01/2021,28.605,21.457
673,04/01/2021,19.589,2.53
674,04/01/2021,25.59,55.181
675,04/01/2021,18.231,55.313
676,04/01/2021,26.046,14.292
677,04/01/2021,24.052,35.115
678,04/01/2021,28.723,27.891
679,04/01/2021,26.195,54.273
680,04/01/2021,24.171,36.926
681,04/01/2021,28.655,56.134
682,04/01/2021,25.525,3.037
683,04/01/2021,26.431,58.144
684,04/01/2021,18.634,59.735
685,04/01/2021,18.24,8.098
686,04/01/2021,22.506,54.574
687,04/01/2021,19.701,56.325
688,04/01/2021,23.62,8.525
689,04/01/2021,20.088,10.034
690,04/01/2021,22.352,59.946
691,04/01/2021,19.877,10.179
692,04/01/2021,26.732,36.31
693,04/01/2021,28.862,61.572
694,04/01/2021,21.827,51.065
695,04/01/2021,25.647,5.318
696,04/01/2021,20.168,24.982
697,04/01/2021,28.762,18.156
698,04/01/2021,24.577,29.481
699,04/01/2021,28.9,41.359
700,04/01/2021,28.195,52.685
701,04/01/2021,20.198,45.455
702,04/01/2021,22.324,7.437
703,04/01/2021,27.644,31.56
704,04/01/2021,21.084,37.688
705,04/01/2021,25.277,32.915
706,04/01/2021,21.601,3.458
707,04/01/2021,18.309,23.044
708,04/01/2021,26.205,62.202
709,04/01/2021,21.107,54.085
710,04/01/2021,20.136,15.493
711,04/01/2021,23.7,39.946
712,04/01/2021,18.475,37.152
713,04/01/2021,23.349,51.822
714,04/01/2021,25.717,37.986
715,04/01/2021,25.338,16.21
716,04/01/2021,27.153,13.577
717,04/01/2021,25.461,5.297
718,04/01/2021,24.898,5.262
719,04/01/2021,21.345,57.359
720,04/01/2021,28.877,35.53
721,04/01/2021,25.651,58.956
722,04/01/2021,28.591,38.695
723,04/01/2021,26.356,40.291
724,04/01/2021,22.939,42.619
725,04/01/2021,21.205,12.476
726,04/01/2021,18.175,23.441
727,04/01/2021,18.729,59.458
728,04/01/2021,24.394,34.52
729,04/01/2021,21.518,44.103
730,04/01/2021,28.79,62.059
731,04/01/2021,22.436,2.118
732,04/01/2021,18.759,48.152
733,04/01/2021,18.519,10.538
734,04/01/2021,26.33,32.93
735,04/01/2021,21.207,24.089
736,04/01/2021,28.486,23.06
737,04/01/2021,28.731,39.917
738,04/01/2021,20.797,23.254
739,04/01/2021,18.011,59.223
740,04/01/2021,20.544,16.163
741,04/01/2021,25.5,22.8
742,04/01/2021,18.361,47.657
743,04/01/2021,28.267,13.061
744,04/01/2021,26.588,13.649
745,04/01/2021,23.767,13.591
746,04/01/2021,28.961,17.336
747,04/01/2021,28.882,49.712
748,04/01/2021,26.024,30.928
749,04/01/2021,26.464,39.742
750,04/01/2021,19.235,49.487
751,04/01/2021,18.541,12.259
752,04/01/2021,26.655,40.715
753,04/01/2021,19.3,51.315
754,04/01/2021,21.226,20.838
755,04/01/2021,28.372,42.076
756,04/01/2021,20.19,29.245
757,04/01/2021,27.866,53.949
758,04/01/2021,20.141,45.468
759,04/01/2021,23.18,16.739
760,04/01/2021,27.749,60.692
761,04/01/2021,19.586,41.2
762,04/01/2021,27.851,22.374
763,04/01/2021,19.98,10.485
764,04/01/2021,19.97,8.81
765,04/01/2021,18.283,48.633
766,04/01/2021,22.732,19.61
767,04/01/2021,18,58.579
768,04/01/2021,18.074,53.842
769,04/01/2021,27.471,40.062
770,04/01/2021,22.473,40.833
771,04/01/2021,18.528,12.127
772,04/01/2021,19.89,60.691
773,04/01/2021,26.881,60.145
774,04/01/2021,27.699,10.832
775,04/01/2021,21.602,18.975
776,04/01/2021,18.155,46.224
777,04/01/2021,21.071,15.036
778,04/01/2021,28.696,26.991
779,04/01/2021,25.631,14.793
780,04/01/2021,18.902,5.358
781,04/01/2021,19.012,34.806
782,04/01/2021,20.769,54.923
783,04/01/2021,26.406,59.995
784,04/01/2021,19.805,40.418
785,04/01/2021,24.634,56.974
786,04/01/2021,19.051,50.617
787,04/01/2021,22.263,31.481
788,04/01/2021,22.442,24.399
789,04/01/2021,19.865,54.009
790,04/01/2021,23.347,40.646
791,04/01/2021,18.898,54.642
792,04/01/2021,24.374,37.093
793,04/01/2021,23.458,26.167
794,04/01/2021,21.884,19.503
795,04/01/2021,21.612,30.149
796,04/01/2021,18.779,31.12
797,04/01/2021,20.347,25.504
798,04/01/2021,18.37,7.819
799,04/01/2021,22.098,37.405
800,04/01/2021,26.477,56.963
801,04/01/2021,20.853,49.494
802,04/01/2021,19.146,15.548
803,04/01/2021,27.72,28.406
804,04/01/2021,23.302,15.675
805,04/01/2021,25.454,25.657
806,04/01/2021,26.072,12.818
807,04/01/2021,22.191,27.327
808,04/01/2021,24.749,12.293
809,04/01/2021,27.416,57.321
810,04/01/2021,28.937,5.352
811,04/01/2021,27.757,6.571
812,04/01/2021,27.772,23.454
813,04/01/2021,18.543,62.899
814,04/01/2021,21.805,56.812
815,04/01/2021,18.475,38.718
816,04/01/2021,28.775,19.998
817,04/01/2021,18.086,20.407
818,04/01/2021,27.4,57.646
819,04/01/2021,23.661,48.676
